,Sen1-delta,Sen1-theta,Sen1-alpha,Sen1-beta,Sen1-gamma,Sen1-phi,Sen1-theta/beta,Sen1-theta/alpha,Sen1-theta/phi,Sen1-theta/(beta + alpha + gamma),Sen1-delta/(beta + alpha + gamma),Sen1-delta/alpha,Sen1-delta/phi,Sen1-delta/beta,Sen1-delta/theta,Sen1-(theta + alpha)/beta,Sen2-delta,Sen2-theta,Sen2-alpha,Sen2-beta,Sen2-gamma,Sen2-phi,Sen2-theta/beta,Sen2-theta/alpha,Sen2-theta/phi,Sen2-theta/(beta + alpha + gamma),Sen2-delta/(beta + alpha + gamma),Sen2-delta/alpha,Sen2-delta/phi,Sen2-delta/beta,Sen2-delta/theta,Sen2-(theta + alpha)/beta,Sen3-delta,Sen3-theta,Sen3-alpha,Sen3-beta,Sen3-gamma,Sen3-phi,Sen3-theta/beta,Sen3-theta/alpha,Sen3-theta/phi,Sen3-theta/(beta + alpha + gamma),Sen3-delta/(beta + alpha + gamma),Sen3-delta/alpha,Sen3-delta/phi,Sen3-delta/beta,Sen3-delta/theta,Sen3-(theta + alpha)/beta,Sen4-delta,Sen4-theta,Sen4-alpha,Sen4-beta,Sen4-gamma,Sen4-phi,Sen4-theta/beta,Sen4-theta/alpha,Sen4-theta/phi,Sen4-theta/(beta + alpha + gamma),Sen4-delta/(beta + alpha + gamma),Sen4-delta/alpha,Sen4-delta/phi,Sen4-delta/beta,Sen4-delta/theta,Sen4-(theta + alpha)/beta,Class,File
0,4.116427373579958,2.659079033367167,2.354075272249068,1.6554068720126782,1.1630197092408003,1.2583245046309297,1.6062993807281971,1.1295641497591962,2.1131902172938153,0.5140798609026266,0.7958290765604134,1.7486388061190372,3.271355964562828,2.4866559654757983,1.5480650713744917,3.0283517547085794,4.5004822079990925,3.4293812597255524,0.952183576064407,0.5157827947360274,0.14863169150810032,0.46969575163776356,6.648886497814795,3.601596736104157,7.301282261480497,2.121356779822145,2.7839215652481437,4.726485859586675,9.581696645768115,8.725537675800906,1.3123306705068012,8.4949806013448,8.112357106364232,5.2395604216219915,1.8654186281061413,0.6413753333245565,0.3344303920095788,0.822729432942573,8.169257764346552,2.8087853003491414,6.368509757675968,1.8441206218993957,2.8552328493670136,4.348813174767248,9.860297664749378,12.648377143402113,1.5482896375976747,11.077724197623274,6.909868720733367,4.839471106568491,3.5790263794087216,1.5472529112497775,0.9763927480986093,1.3837446165323257,3.1277828410479183,1.3521753106966492,3.4973730331079746,0.7930085503257873,1.1322693857460926,1.9306559908270142,4.993601158897043,4.46589479360035,1.427814851783034,5.44093174733616,Fatigued,0
1,5.327117719057635,2.5861083046107587,3.163831760639384,2.167112212619789,1.1676885409984505,1.408580555508086,1.1933430532812381,0.8173975420513915,1.8359676303198218,0.3979465370502159,0.8197290287410848,1.683755054655962,3.781904910036262,2.4581642279694247,2.0598973792241977,2.6532728816562425,2.1870597382705474,0.8823856590982196,1.269341670736491,0.5094267950071066,0.13448203883593168,0.31887034839288103,1.7321147370858458,0.6951522032568632,2.767223931436327,0.4611971391023568,1.14311206662987,1.7229874262314122,6.858774261368025,4.2931776649872475,2.4785757970111146,4.223820480045015,4.087716233649253,1.6811672516090388,1.619885219071117,0.6585338812837305,0.23584025026783706,0.5000689641148907,2.5528940869857917,1.0378310955717358,3.3618708063290073,0.6686530771746673,1.625813276835138,2.5234604190000898,8.17430499988018,6.207298287645816,2.4314750538573215,5.012729890594485,5.544266480253873,4.779832760131875,3.8087747503195124,1.5285517933649662,1.0650536642453703,1.3710216693382127,3.1270335626701353,1.2549528584568834,3.4863291128280145,0.7465712133452614,0.865969576968713,1.455656173888669,4.043894129645719,3.627136812975555,1.1599289679124478,5.618787369673852,Fatigued,0
2,5.757308196367402,4.962309116821205,3.2577710605599646,1.6985339110988404,1.1186210676366952,1.4201712190873101,2.9215249012078393,1.5232221738651746,3.4941625700669325,0.816850951719023,0.9477165909718743,1.7672537723930186,4.053953578968742,3.3895750675020673,1.16020748825407,4.839514903805078,2.081976776263178,1.7232828306150374,0.754471596234119,0.5462039095595901,0.19870864094354904,0.3596760749550258,3.1550173853653636,2.284092388920481,4.791207841195771,1.1493270983056576,1.3885546147687855,2.7595164438995297,5.788477247266196,3.8117207508490694,1.208145720061589,4.536317634282398,5.1131346691074855,2.1502500688256427,1.420237744614161,0.7520887823431087,0.5406539859522194,0.7951802715435953,2.859037548900287,1.514007128017715,2.70410389414164,0.7925785159878072,1.884692737296514,3.6001962970619275,6.43015785487475,6.7985785576772955,2.3779255925800387,4.747428624471784,9.678256133580119,3.9290273884679365,2.0110904541906374,1.4145350538419008,1.0331064645844634,1.3600540402312702,2.777610479002717,1.953680094438702,2.8888759359884153,0.8811983794042321,2.1706297200680527,4.812441983110665,7.116082043279972,6.842005157308625,2.463270213383268,4.199342976001277,Fatigued,0
3,4.714604802054484,2.5790612361358467,2.6948915057706135,1.9491713872877388,1.3369775770736132,1.5061767374186004,1.323157754600839,0.9570185777843978,1.712323110603897,0.4312061168980758,0.7882583014775121,1.74945996599827,3.1301803333749065,2.4187738609352514,1.8280313534231072,2.7057408990828336,3.187299922620964,2.8551137543815917,1.4427107493019495,0.6814538742532311,0.18874058562636753,0.4858584230820862,4.189738824965018,1.9789925012779093,5.876431525607652,1.234427482392117,1.3780503887354862,2.20924390018105,6.5601413317114945,4.67720566724161,1.1163477874496537,6.306845798467721,4.213773442399012,3.3343279705461484,2.4213235056003293,2.4815461762926385,1.564327509772748,1.8015984069124862,1.3436493756999284,1.3770683524254863,1.8507609452543858,0.5155754296224492,0.6515609958251013,1.7402769322863667,2.338908286237011,1.6980435353793308,1.263754939412518,2.3193811709541756,3.9946073737770176,2.259368619150684,2.4188137929593645,1.5962150508582593,1.403543374809358,1.4981678057108248,1.4154537748130225,0.9340812532685275,1.508087819360594,0.41696751985400093,0.7372066316741306,1.651473703930597,2.666328403634148,2.5025496230155087,1.7680193218221403,2.9307970812545996,Fatigued,0
4,3.5992963711496317,2.439946302995734,2.156111008408548,1.498531337545901,1.0513468006361302,1.1545635453835477,1.628225077355779,1.1316422454503805,2.113306203674723,0.5184768232547751,0.7648331220137363,1.6693465026210854,3.1174519458380616,2.4018826173125545,1.4751539272526053,3.0670411730802405,2.0098634380222493,1.6849237752022002,0.9809818893959693,0.5643983196950529,0.15315181291968533,0.34353797052328233,2.9853451302133083,1.7175890741873703,4.904621671472584,0.9919882306414228,1.1832944048019713,2.048828280876627,5.850484110856201,3.561072681981385,1.1928512539275282,4.72344720310041,2.049169380825963,3.0605520452549873,1.3367892055974324,1.2561011092794765,1.2039445147649015,1.1713596707142002,2.436549114275186,2.28947992132176,2.6128200601177523,0.806079848762796,0.5397046415683242,1.532903895577281,1.7493938301431748,1.631372956912207,0.6695424062475756,3.5007860580386065,4.155181719017168,2.85065877793363,2.25958365091863,1.9667313947916005,1.2548672565941523,1.3937198689949792,1.4494398093623215,1.2615858575426937,2.0453599330468464,0.5200810009065315,0.7580812842642105,1.838914756410052,2.9813607536595557,2.112734728301554,1.4576215684534344,2.59834283541996,Fatigued,0
5,6.4252724227939195,3.67698632304335,2.948106379332541,1.6942761352034599,1.083621559050789,1.3578502457003176,2.1702402853014235,1.247236649539027,2.7079468701991707,0.6421557295086018,1.122121524927436,2.1794574537193663,4.731944809922728,3.7923407461690597,1.7474289698950747,3.9102791833754456,2.6203666441757156,0.9421871117132756,0.8297393374208959,0.33388623068183715,0.11827758757753963,0.27629488310263833,2.821880704062616,1.1355218069350606,3.4100780337769443,0.7349908669296328,2.044122157406778,3.158060038855915,9.483949231163644,7.848082380709745,2.7811531399647715,5.306976707352315,5.207531891785137,1.936372366717831,0.9628905321008626,0.9969626065342484,0.9039001897498976,0.9605928114138148,1.9422718104235248,2.010999487649959,2.015809762169518,0.6761659070021345,1.8184289268803344,5.408228368829416,5.4211647535865,5.223397404931901,2.6893235935875035,2.9080959303954557,6.020315416184067,3.8639344705008196,2.9088691818799868,1.7253975083752218,1.1117487707790525,1.371676261522078,2.2394459547698213,1.3283287177608927,2.816943457352839,0.6724545899160052,1.0477374203062852,2.069641169732208,4.389020634871697,3.4892338646375456,1.5580790673719036,3.9253584287128382,Fatigued,0
6,3.1735712622803165,3.1168450763705526,2.9875985431064094,2.435521006310109,1.0557378197437028,1.3105418472628434,1.2797446904769962,1.0432610109421718,2.378287334265821,0.48107944021224114,0.48983502513679655,1.0622482293020998,2.4215718627440537,1.3030358818741528,1.0181998734360642,2.506422077108416,1.4138741945261764,0.9172923507814187,1.396534713455436,0.3874346731115932,0.123416332797539,0.27604231988749356,2.3676052104846335,0.6568346221138812,3.323013482698157,0.48091602105892245,0.7412628605593201,1.012416075951193,5.121947225709552,3.6493228217571967,1.5413561372464644,5.972173439341091,3.3297162835200074,2.2725997247481207,0.9566952457821679,0.6460956171456353,0.7144383417935534,0.7337911885451368,3.517435599993952,2.37546881806662,3.0970659776576603,0.9807401529886197,1.4369386838106941,3.4804356959020133,4.537689107608016,5.1535967667297475,1.465157391009123,4.998168823365317,2.923433115876971,2.2737938462554528,2.6810723108711203,1.7692454750815938,0.9578098590584551,1.1164207590237203,1.2851771437485746,0.8480912047898713,2.036681804666391,0.42044012188820234,0.5405628912205406,1.0903969669236948,2.6185764571714287,1.6523615049755311,1.2857071984302193,2.800553245387311,Fatigued,0
7,2.372632248275926,2.0149195740241077,3.0821297299241524,2.229261972535225,0.981906999666614,1.1788841823045138,0.9038505114464601,0.653742622986117,1.7091751711226544,0.3201690670337054,0.37700931746246324,0.7698028493869769,2.0126084342211144,1.0643128880800192,1.1775319863201341,2.286429036490336,1.8900057900412932,1.1125573809892895,1.2556707522033848,0.39817204434106723,0.09701368740460609,0.2765269277097182,2.794162465198818,0.8860263560627119,4.0233238412035845,0.6354360801063006,1.079474992592416,1.5051762468185317,6.834798352894264,4.7467063971531545,1.6987939879205998,5.947750895248917,2.7419885729601337,1.5533619533799636,1.6408798897641863,0.753674735432839,0.5843039495572797,0.6631190784731037,2.0610508490613797,0.94666402036483,2.3425083123181,0.5214621353778383,0.9204829649176252,1.6710477043838898,4.1349867044601245,3.638159067897369,1.7651961714356623,4.238223324959515,3.280612350896515,1.4133390666974937,3.6617086023085723,1.6366424919756646,0.9576420670367691,1.1404316633645908,0.8635600466363236,0.38597802834623035,1.239301846923252,0.22591761695581125,0.5243951306052557,0.8959239271055621,2.8766408863270208,2.0044770724095895,2.321178567972526,3.100889591886221,Fatigued,0
8,5.140394611940121,2.1474837992723765,2.3302347794327964,1.9446534809537146,0.8195337959726006,1.1105098074485757,1.1043015222533055,0.9215740054292283,1.9337819304867507,0.4215362950919585,1.009024096369013,2.205955664772692,4.628860166260312,2.6433473430027865,2.3936826036507566,2.3025791600204113,6.3394314420548055,1.8444204723450506,1.2877429677153152,0.663066764389923,0.17067575883780628,0.5230005714841331,2.781651217343207,1.4322892988632507,3.526612728378265,0.8694004650133937,2.9882040056926322,4.922901231836725,12.121270583061174,9.560773940898114,3.4370858148167622,4.72375273241484,5.994294352875475,3.2294414471858177,1.531064047367359,0.8495763159003272,0.4497455051763632,0.7563306232298452,3.801237613084188,2.1092791335142334,4.26988058925178,1.140989814565864,2.117836447569152,3.915116655754912,7.925494709281178,7.055627894385333,1.856139660961802,5.603387718628071,2.8915232565825666,1.553959884225328,2.230185910486151,1.324329394421481,0.9940771468710082,1.0322128379817281,1.173393787656702,0.6967849078943312,1.5054645970726006,0.3416353302036725,0.6356962702718929,1.2965391104781272,2.801285888127804,2.183386753146635,1.8607451105625123,2.8574052729264854,Fatigued,0
9,3.372706167861422,2.7166026501216183,4.543737775974477,2.0112850448169084,0.9853009429590605,1.2837634304633165,1.3506800824290504,0.597878395290758,2.1161240347383807,0.3602766585675653,0.4472893039521008,0.7422757065108344,2.6272022460120987,1.6768911878268586,1.2415161885049442,3.609801825358384,2.8088425483836343,1.3347052161511253,0.8628435382605417,0.4520442094870037,0.15901347524570417,0.3309499491104553,2.9525988567927848,1.5468681828942452,4.032951870029339,0.9055594739521009,1.9057196673460517,3.2553324256749367,8.487212510330911,6.213645677645582,2.104466600110744,4.861358044837087,3.8413393083881022,1.1870165286095073,0.9127528765588003,0.5967346887879345,0.3597932527485474,0.4979278847213691,1.9891864021187233,1.3004796359390478,2.3839125404148414,0.6350124160686711,2.0549824676969957,4.208520627040325,7.71464990464963,6.437264969781611,3.236129586913096,3.5187654490696394,3.748541853306865,3.7543252055594594,2.5534007408822865,1.5191223994612137,1.097275421697812,1.2110926029041964,2.471377689441617,1.4703235357651743,3.0999489193118666,0.7262033830728312,0.7250847026865086,1.4680585750952735,3.0951736013562243,2.4675706543701534,0.9984595494700272,4.152217062087231,Fatigued,0
